中央频道,#genre#
CCTV3,http://60.8.49.38:352/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV3,http://116.131.190.210:352/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV3,http://222.134.19.31:352/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.28
CCTV3,http://58.220.211.90:352/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
CCTV3,http://60.212.2.115:352/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.2
CCTV4,http://111.160.27.70:35793/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0,6.08
CCTV4,http://175.18.189.238:9998/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,4.75
CCTV4,http://42.225.184.181:19901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0,3.23
CCTV4,http://60.209.125.254:352/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,3.05
CCTV4,http://222.174.239.62:352/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,3.04
CCTV4,http://218.58.136.82:352/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,2.88
CCTV4,http://218.13.14.6:60050/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0,2.7
CCTV4,http://59.39.89.130:60901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,2.27
CCTV4,http://220.202.110.48:9003/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,2.24
CCTV4,http://182.32.159.129:9933/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,2.07
CCTV4,http://39.164.180.36:19901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0,1.97
CCTV4,http://124.94.156.159:8089/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&down=1,1.89
CCTV4,http://222.89.56.77:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0,1.81
CCTV4,http://60.214.104.110:352/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,1.63
CCTV4,http://112.99.195.122:65000/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0,1.63
CCTV4,http://60.172.130.146:352/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,1.52
CCTV4,http://222.173.108.238:352/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,1.52
CCTV4,http://58.19.38.162:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0,1.3
CCTV4,http://113.218.229.47:8081/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,1.25
CCTV4,http://113.56.95.69:53765/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,1.21
CCTV4,http://110.7.130.241:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,1.01
CCTV4,http://110.7.130.241:9901udp://@225.1.2.3:32148,1.01
CCTV4,http://182.91.124.224:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=0&authid=0,0.88
CCTV4,http://183.186.89.111:8899/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.79
CCTV4,http://39.150.96.141:65535/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.72
CCTV4,http://39.150.96.141:65535udp://@224.1.1.4:10004,0.72
CCTV4,http://120.198.95.220:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&down=1,0.71
CCTV4,http://122.137.77.73:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0,0.47
CCTV4,http://118.250.39.0:10888/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0,0.45
CCTV4,http://182.37.169.94:352/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.44
CCTV4,http://61.133.10.250:352/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
CCTV4,http://183.162.252.133:352/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.34
CCTV4,http://218.29.168.146:352/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.34
CCTV4,http://58.213.65.146:352/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV4,http://60.8.49.38:352/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV4,http://116.131.190.210:352/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV4,http://222.134.19.31:352/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.28
CCTV4,http://58.220.211.90:352/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
CCTV4,http://60.212.2.115:352/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.2
CCTV4欧洲,http://124.94.156.159:8089/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&down=1,1.89
CCTV4美洲,http://124.94.156.159:8089/tsfile/live/1057_1.m3u8?key=txiptv&playlive=1&down=1,1.89
CCTV5,http://111.160.27.70:35793/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0,6.08
CCTV5,http://111.160.27.70:35793/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0,6.08
CCTV5,http://175.18.189.238:9998/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,4.75
CCTV5,http://42.225.184.181:19901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0,3.23
CCTV5,http://42.225.184.181:19901/tsfile/live/1089_1.m3u8?key=txiptv&playlive=0&authid=0,3.23
CCTV5,http://60.209.125.254:352/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,3.05
CCTV5,http://222.174.239.62:352/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,3.04
CCTV5,http://218.58.136.82:352/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,2.88
CCTV5,http://183.215.134.239:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,2.77
CCTV5,http://218.13.14.6:60050/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0,2.7
CCTV5,http://59.39.89.130:60901/tsfile/live/0005_2.m3u8?key=txiptv&playlive=0&authid=0,2.27
CCTV5,http://59.39.89.130:60901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,2.27
CCTV5,http://59.39.89.130:60901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0,2.27
CCTV5,http://220.202.110.48:9003/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,2.24
CCTV5,http://182.32.159.129:9933/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,2.07
CCTV5,http://39.164.180.36:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0,1.97
CCTV5,http://124.94.156.159:8089/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&down=1,1.89
CCTV5,http://124.94.156.159:8089/tsfile/live/1090_1.m3u8?key=txiptv&playlive=1&down=1,1.89
CCTV5,http://222.89.56.77:19901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0,1.81
CCTV5,http://222.89.56.77:19901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0,1.81
CCTV5,http://60.214.104.110:352/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,1.63
CCTV5,http://112.99.195.122:65000/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0,1.63
CCTV5,http://60.172.130.146:352/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,1.52
CCTV5,http://222.173.108.238:352/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,1.52
CCTV5,http://58.19.38.162:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,1.3
CCTV5,http://113.218.229.47:8081/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,1.25
CCTV5,http://113.56.95.69:53765/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,1.21
CCTV5,http://113.56.95.69:53765/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0,1.21
CCTV5,http://110.7.130.241:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,1.01
CCTV5,http://110.7.130.241:9901udp://@225.1.2.3:32149,1.01
CCTV5,http://182.91.124.224:9901/tsfile/live/faacts/0005_2.m3u8?key=txiptv&playlive=0&authid=0,0.88
CCTV5,http://183.186.89.111:8899/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.79
CCTV5,http://183.186.89.111:8899/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0,0.79
CCTV5,http://39.150.96.141:65535/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.72
CCTV5,http://39.150.96.141:65535udp://@224.1.1.5:10005,0.72
CCTV5,http://120.198.95.220:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&down=1,0.71
CCTV5,http://120.198.95.220:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&down=1,0.71
CCTV5,http://122.137.77.73:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0,0.47
CCTV5,http://122.137.77.73:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0,0.47
CCTV5,http://118.250.39.0:10888/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0,0.45
CCTV5,http://182.37.169.94:352/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.44
CCTV5,http://61.133.10.250:352/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
CCTV5,http://183.162.252.133:352/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.34
CCTV5,http://218.29.168.146:352/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.34
CCTV5,http://58.213.65.146:352/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV5,http://60.8.49.38:352/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV5,http://116.131.190.210:352/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV5,http://222.134.19.31:352/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.28
CCTV5,http://58.220.211.90:352/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
CCTV5,http://60.212.2.115:352/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.2
CCTV5赛事,http://175.18.189.238:9998/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0,4.75
CCTV5赛事,http://60.209.125.254:352/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0,3.05
CCTV5赛事,http://222.174.239.62:352/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0,3.04
CCTV5赛事,http://218.58.136.82:352/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0,2.88
CCTV5赛事,http://39.164.180.36:19901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0,1.97
CCTV5赛事,http://60.214.104.110:352/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0,1.63
CCTV5赛事,http://222.173.108.238:352/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0,1.52
CCTV5赛事,http://39.150.96.141:65535/tsfile/live/1057_1.m3u8?key=txiptv&playlive=1&authid=0,0.72
CCTV5赛事,http://39.150.96.141:65535udp://@224.1.2.30:11030,0.72
CCTV5赛事,http://182.37.169.94:352/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0,0.44
CCTV5赛事,http://61.133.10.250:352/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
CCTV5赛事,http://60.8.49.38:352/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV5赛事,http://116.131.190.210:352/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV5赛事,http://222.134.19.31:352/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0,0.28
CCTV5赛事,http://60.212.2.115:352/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0,0.2
CCTV6,http://111.160.27.70:35793/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0,6.08
CCTV6,http://175.18.189.238:9998/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0,4.75
CCTV6,http://42.225.184.181:19901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0,3.23
CCTV6,http://60.209.125.254:352/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0,3.05
CCTV6,http://222.174.239.62:352/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0,3.04
CCTV6,http://218.58.136.82:352/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0,2.88
CCTV6,http://218.13.14.6:60050/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0,2.7
CCTV6,http://59.39.89.130:60901/tsfile/live/0006_2.m3u8?key=txiptv&playlive=0&authid=0,2.27
CCTV6,http://59.39.89.130:60901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0,2.27
CCTV6,http://220.202.110.48:9003/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0,2.24
CCTV6,http://182.32.159.129:9933/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0,2.07
CCTV6,http://39.164.180.36:19901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0,1.97
CCTV6,http://124.94.156.159:8089/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&down=1,1.89
CCTV6,http://222.89.56.77:19901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0,1.81
CCTV6,http://60.214.104.110:352/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0,1.63
CCTV6,http://112.99.195.122:65000/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0,1.63
